"choice","log_income","female","education","alt","price","chid","idx.chid","idx.alt"
FALSE, 6.7210850,1,3,"0",0.0,   1,   1,0
FALSE, 6.7210850,1,3,"1",0.6,   1,   1,1
FALSE, 6.7210850,1,3,"2",0.5,   1,   1,2
FALSE, 6.7210850,1,3,"3",0.4,   1,   1,3
TRUE, 6.7210850,1,3,"4",0.6,   1,   1,4
FALSE, 5.8442402,0,8,"0",0.0,   2,   2,0
FALSE, 5.8442402,0,8,"1",0.6,   2,   2,1
FALSE, 5.8442402,0,8,"2",0.5,   2,   2,2
TRUE, 5.8442402,0,8,"3",0.4,   2,   2,3
FALSE, 5.8442402,0,8,"4",0.6,   2,   2,4
FALSE, 6.3351232,1,4,"0",0.0,   3,   3,0
FALSE, 6.3351232,1,4,"1",0.6,   3,   3,1
TRUE, 6.3351232,1,4,"2",0.5,   3,   3,2
FALSE, 6.3351232,1,4,"3",0.4,   3,   3,3
FALSE, 6.3351232,1,4,"4",0.6,   3,   3,4
FALSE, 6.3496403,1,1,"0",0.0,   4,   4,0
FALSE, 6.3496403,1,1,"1",0.6,   4,   4,1
FALSE, 6.3496403,1,1,"2",0.5,   4,   4,2
FALSE, 6.3496403,1,1,"3",0.4,   4,   4,3
TRUE, 6.3496403,1,1,"4",0.6,   4,   4,4
FALSE, 6.7909811,0,4,"0",0.0,   5,   5,0
FALSE, 6.7909811,0,4,"1",0.6,   5,   5,1
FALSE, 6.7909811,0,4,"2",0.5,   5,   5,2
TRUE, 6.7909811,0,4,"3",0.4,   5,   5,3
FALSE, 6.7909811,0,4,"4",0.6,   5,   5,4
FALSE, 5.5817383,1,2,"0",0.0,   6,   6,0
FALSE, 5.5817383,1,2,"1",0.6,   6,   6,1
FALSE, 5.5817383,1,2,"2",0.5,   6,   6,2
FALSE, 5.5817383,1,2,"3",0.4,   6,   6,3
TRUE, 5.5817383,1,2,"4",0.6,   6,   6,4
FALSE, 5.9176828,0,1,"0",0.0,   7,   7,0
TRUE, 5.9176828,0,1,"1",0.6,   7,   7,1
FALSE, 5.9176828,0,1,"2",0.5,   7,   7,2
FALSE, 5.9176828,0,1,"3",0.4,   7,   7,3
FALSE, 5.9176828,0,1,"4",0.6,   7,   7,4
FALSE, 6.3500139,0,2,"0",0.0,   8,   8,0
FALSE, 6.3500139,0,2,"1",0.6,   8,   8,1
TRUE, 6.3500139,0,2,"2",0.5,   8,   8,2
FALSE, 6.3500139,0,2,"3",0.4,   8,   8,3
FALSE, 6.3500139,0,2,"4",0.6,   8,   8,4
FALSE, 3.3767041,1,3,"0",0.0,   9,   9,0
FALSE, 3.3767041,1,3,"1",0.6,   9,   9,1
TRUE, 3.3767041,1,3,"2",0.5,   9,   9,2
FALSE, 3.3767041,1,3,"3",0.4,   9,   9,3
FALSE, 3.3767041,1,3,"4",0.6,   9,   9,4
FALSE, 5.8544312,1,3,"0",0.0,  10,  10,0
FALSE, 5.8544312,1,3,"1",0.6,  10,  10,1
TRUE, 5.8544312,1,3,"2",0.5,  10,  10,2
FALSE, 5.8544312,1,3,"3",0.4,  10,  10,3
FALSE, 5.8544312,1,3,"4",0.6,  10,  10,4
FALSE, 6.0666510,0,4,"0",0.0,  11,  11,0
FALSE, 6.0666510,0,4,"1",0.6,  11,  11,1
FALSE, 6.0666510,0,4,"2",0.5,  11,  11,2
TRUE, 6.0666510,0,4,"3",0.4,  11,  11,3
FALSE, 6.0666510,0,4,"4",0.6,  11,  11,4
FALSE, 6.5118735,1,5,"0",0.0,  12,  12,0
FALSE, 6.5118735,1,5,"1",0.6,  12,  12,1
TRUE, 6.5118735,1,5,"2",0.5,  12,  12,2
FALSE, 6.5118735,1,5,"3",0.4,  12,  12,3
FALSE, 6.5118735,1,5,"4",0.6,  12,  12,4
FALSE, 6.6868350,0,4,"0",0.0,  13,  13,0
FALSE, 6.6868350,0,4,"1",0.6,  13,  13,1
FALSE, 6.6868350,0,4,"2",0.5,  13,  13,2
TRUE, 6.6868350,0,4,"3",0.4,  13,  13,3
FALSE, 6.6868350,0,4,"4",0.6,  13,  13,4
FALSE, 5.2487646,1,2,"0",0.0,  14,  14,0
FALSE, 5.2487646,1,2,"1",0.6,  14,  14,1
FALSE, 5.2487646,1,2,"2",0.5,  14,  14,2
FALSE, 5.2487646,1,2,"3",0.4,  14,  14,3
TRUE, 5.2487646,1,2,"4",0.6,  14,  14,4
FALSE, 6.7015003,1,3,"0",0.0,  15,  15,0
FALSE, 6.7015003,1,3,"1",0.6,  15,  15,1
FALSE, 6.7015003,1,3,"2",0.5,  15,  15,2
FALSE, 6.7015003,1,3,"3",0.4,  15,  15,3
TRUE, 6.7015003,1,3,"4",0.6,  15,  15,4
FALSE, 5.9234115,0,1,"0",0.0,  16,  16,0
TRUE, 5.9234115,0,1,"1",0.6,  16,  16,1
FALSE, 5.9234115,0,1,"2",0.5,  16,  16,2
FALSE, 5.9234115,0,1,"3",0.4,  16,  16,3
FALSE, 5.9234115,0,1,"4",0.6,  16,  16,4
FALSE, 5.8270840,1,3,"0",0.0,  17,  17,0
FALSE, 5.8270840,1,3,"1",0.6,  17,  17,1
TRUE, 5.8270840,1,3,"2",0.5,  17,  17,2
FALSE, 5.8270840,1,3,"3",0.4,  17,  17,3
FALSE, 5.8270840,1,3,"4",0.6,  17,  17,4
FALSE, 4.9036385,1,3,"0",0.0,  18,  18,0
FALSE, 4.9036385,1,3,"1",0.6,  18,  18,1
TRUE, 4.9036385,1,3,"2",0.5,  18,  18,2
FALSE, 4.9036385,1,3,"3",0.4,  18,  18,3
FALSE, 4.9036385,1,3,"4",0.6,  18,  18,4
FALSE, 6.6407174,1,3,"0",0.0,  19,  19,0
FALSE, 6.6407174,1,3,"1",0.6,  19,  19,1
FALSE, 6.6407174,1,3,"2",0.5,  19,  19,2
FALSE, 6.6407174,1,3,"3",0.4,  19,  19,3
TRUE, 6.6407174,1,3,"4",0.6,  19,  19,4
FALSE, 5.3417510,1,1,"0",0.0,  20,  20,0
FALSE, 5.3417510,1,1,"1",0.6,  20,  20,1
FALSE, 5.3417510,1,1,"2",0.5,  20,  20,2
FALSE, 5.3417510,1,1,"3",0.4,  20,  20,3
TRUE, 5.3417510,1,1,"4",0.6,  20,  20,4
FALSE, 6.3669683,1,3,"0",0.0,  21,  21,0
FALSE, 6.3669683,1,3,"1",0.6,  21,  21,1
FALSE, 6.3669683,1,3,"2",0.5,  21,  21,2
FALSE, 6.3669683,1,3,"3",0.4,  21,  21,3
TRUE, 6.3669683,1,3,"4",0.6,  21,  21,4
FALSE, 5.5675578,0,5,"0",0.0,  22,  22,0
FALSE, 5.5675578,0,5,"1",0.6,  22,  22,1
FALSE, 5.5675578,0,5,"2",0.5,  22,  22,2
TRUE, 5.5675578,0,5,"3",0.4,  22,  22,3
FALSE, 5.5675578,0,5,"4",0.6,  22,  22,4
TRUE, 1.1718992,0,5,"0",0.0,  23,  23,0
FALSE, 1.1718992,0,5,"1",0.6,  23,  23,1
FALSE, 1.1718992,0,5,"2",0.5,  23,  23,2
FALSE, 1.1718992,0,5,"3",0.4,  23,  23,3
FALSE, 1.1718992,0,5,"4",0.6,  23,  23,4
FALSE, 6.6970355,1,4,"0",0.0,  24,  24,0
FALSE, 6.6970355,1,4,"1",0.6,  24,  24,1
TRUE, 6.6970355,1,4,"2",0.5,  24,  24,2
FALSE, 6.6970355,1,4,"3",0.4,  24,  24,3
FALSE, 6.6970355,1,4,"4",0.6,  24,  24,4
FALSE, 6.8330155,0,3,"0",0.0,  25,  25,0
FALSE, 6.8330155,0,3,"1",0.6,  25,  25,1
FALSE, 6.8330155,0,3,"2",0.5,  25,  25,2
TRUE, 6.8330155,0,3,"3",0.4,  25,  25,3
FALSE, 6.8330155,0,3,"4",0.6,  25,  25,4
FALSE, 5.9688413,1,3,"0",0.0,  26,  26,0
FALSE, 5.9688413,1,3,"1",0.6,  26,  26,1
TRUE, 5.9688413,1,3,"2",0.5,  26,  26,2
FALSE, 5.9688413,1,3,"3",0.4,  26,  26,3
FALSE, 5.9688413,1,3,"4",0.6,  26,  26,4
FALSE, 5.5323376,1,2,"0",0.0,  27,  27,0
FALSE, 5.5323376,1,2,"1",0.6,  27,  27,1
FALSE, 5.5323376,1,2,"2",0.5,  27,  27,2
FALSE, 5.5323376,1,2,"3",0.4,  27,  27,3
TRUE, 5.5323376,1,2,"4",0.6,  27,  27,4
FALSE, 6.8349845,0,5,"0",0.0,  28,  28,0
FALSE, 6.8349845,0,5,"1",0.6,  28,  28,1
FALSE, 6.8349845,0,5,"2",0.5,  28,  28,2
TRUE, 6.8349845,0,5,"3",0.4,  28,  28,3
FALSE, 6.8349845,0,5,"4",0.6,  28,  28,4
FALSE, 5.9043670,1,3,"0",0.0,  29,  29,0
FALSE, 5.9043670,1,3,"1",0.6,  29,  29,1
TRUE, 5.9043670,1,3,"2",0.5,  29,  29,2
FALSE, 5.9043670,1,3,"3",0.4,  29,  29,3
FALSE, 5.9043670,1,3,"4",0.6,  29,  29,4
FALSE, 2.3386104,1,2,"0",0.0,  30,  30,0
FALSE, 2.3386104,1,2,"1",0.6,  30,  30,1
FALSE, 2.3386104,1,2,"2",0.5,  30,  30,2
FALSE, 2.3386104,1,2,"3",0.4,  30,  30,3
TRUE, 2.3386104,1,2,"4",0.6,  30,  30,4
FALSE, 6.6750751,0,2,"0",0.0,  31,  31,0
FALSE, 6.6750751,0,2,"1",0.6,  31,  31,1
TRUE, 6.6750751,0,2,"2",0.5,  31,  31,2
FALSE, 6.6750751,0,2,"3",0.4,  31,  31,3
FALSE, 6.6750751,0,2,"4",0.6,  31,  31,4
FALSE, 5.8142931,0,4,"0",0.0,  32,  32,0
FALSE, 5.8142931,0,4,"1",0.6,  32,  32,1
FALSE, 5.8142931,0,4,"2",0.5,  32,  32,2
TRUE, 5.8142931,0,4,"3",0.4,  32,  32,3
FALSE, 5.8142931,0,4,"4",0.6,  32,  32,4
FALSE, 5.9423195,0,3,"0",0.0,  33,  33,0
FALSE, 5.9423195,0,3,"1",0.6,  33,  33,1
FALSE, 5.9423195,0,3,"2",0.5,  33,  33,2
TRUE, 5.9423195,0,3,"3",0.4,  33,  33,3
FALSE, 5.9423195,0,3,"4",0.6,  33,  33,4
FALSE, 3.9595871,0,3,"0",0.0,  34,  34,0
FALSE, 3.9595871,0,3,"1",0.6,  34,  34,1
FALSE, 3.9595871,0,3,"2",0.5,  34,  34,2
TRUE, 3.9595871,0,3,"3",0.4,  34,  34,3
FALSE, 3.9595871,0,3,"4",0.6,  34,  34,4
FALSE, 6.9000414,1,2,"0",0.0,  35,  35,0
FALSE, 6.9000414,1,2,"1",0.6,  35,  35,1
FALSE, 6.9000414,1,2,"2",0.5,  35,  35,2
FALSE, 6.9000414,1,2,"3",0.4,  35,  35,3
TRUE, 6.9000414,1,2,"4",0.6,  35,  35,4
FALSE, 6.7736195,1,6,"0",0.0,  36,  36,0
FALSE, 6.7736195,1,6,"1",0.6,  36,  36,1
